filename,title,description,category,type,date,location,source,tags,note,related
scan171.jpg,no other land ticket,🇵🇸,ephemera,ticket,2025-03-12,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|politics|palestine,free palestine!,scan172.jpg|scan173.jpg|scan174.jpg|scan177.jpg|scan179.jpg
scan172.jpg,mulholland drive ticket,"part of the david lynch retrospective, following his passing",ephemera,ticket,2025-03-11,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|lynch|cult film,,scan192.jpg|scan181.jpg|scan194.jpg|scan196.jpg|scan176.jpg
scan173.jpg,bugonia 35mm ticket,,ephemera,ticket,2025-10-27,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket,,scan171.jpg|scan172.jpg|scan174.jpg|scan177.jpg|scan179.jpg
scan174.jpg,city of god ticket,,ephemera,ticket,2025-09-07,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|brazil,,scan171.jpg|scan172.jpg|scan173.jpg|scan177.jpg|scan179.jpg
scan175.jpg,the last showgirl ticket,austin film festival admission ticket,ephemera,ticket,2024-10-29,"Austin, TX",Austin Film Festival,austin|film|ticket|film festival|festival,i met gia coppola after this screening!,scan184.jpg|scan109.jpg|scan187.jpg|scan193.jpg|scan190.jpg
scan176.jpg,the big lebowski ticket,midnight movie at the belcourt,ephemera,ticket,november 2025,"Nashville, TN",Belcourt,belcourt|nashville|film|ticket|comedy|cult film,all-timer,scan178.jpg|scan191.jpg|scan172.jpg|scan171.jpg|scan173.jpg
scan177.jpg,the secret agent ticket,,ephemera,ticket,2026-03-08,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket,went w Nate,scan171.jpg|scan172.jpg|scan173.jpg|scan174.jpg|scan179.jpg
scan178.jpg,sentimental value ticket,admission ticket,ephemera,ticket,2025-12-01,"Nashville, TN",Belcourt,belcourt|nashville|film|ticket|drama,cried in the theater,scan176.jpg|scan191.jpg|scan171.jpg|scan172.jpg|scan173.jpg
scan179.jpg,the zone of interest ticket,,ephemera,ticket,2024-02-04,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|holocaust,,scan180.jpg|scan188.jpg|scan192.jpg|scan194.jpg|scan171.jpg
scan180.jpg,the dark knight ticket,an all-time favorite put back on the big screen,ephemera,ticket,2024-03-24,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|batman|nolan,went w justin,scan179.jpg|scan188.jpg|scan192.jpg|scan194.jpg|scan171.jpg
scan181.jpg,creature from the black lagoon 3d ticket,,ephemera,ticket,2023-07-11,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|creatures|3d,,scan172.jpg|scan171.jpg|scan173.jpg|scan8.jpg|scan191.jpg
scan182.jpg,oppenheimer imax ticket,explosions on the big screen!,ephemera,ticket,2023-09-10,"Nashville, TN",Regal Opry Mills,regal|nashville|film|ticket|imax|oppenheimer,ate at the rainforest cafe for dinner before,scan184.jpg|scan186.jpg|scan189.jpg|scan183.jpg|scan185.jpg
scan183.jpg,stop making sense imax ticket,,ephemera,ticket,2023-09-11,"Hendersonville, TN",Regal Indian Lake,regal|nashville|film|music|ticket|concert film,saw with justin,scan185.jpg|scan193.jpg|scan182.jpg|scan184.jpg|scan186.jpg
scan184.jpg,challengers ticket,sexy tennis movie,ephemera,ticket,may 2024,"Nashville, TN",Regal Opry Mills,regal|nashville|film|ticket|tennis|zendaya,,scan186.jpg|scan182.jpg|scan189.jpg|scan183.jpg|scan193.jpg
scan185.jpg,midsommar imax ticket,,ephemera,ticket,2024-06-20,"Hendersonville, TN",Regal Indian Lake,regal|nashville|film|ticket|horror|imax,,scan183.jpg|scan186.jpg|scan182.jpg|scan193.jpg|scan187.jpg
scan186.jpg,longlegs ticket,,ephemera,ticket,2024-07-22,"Nashville, TN",Regal Opry Mills,regal|nashville|film|ticket|horror|serial killer,,scan184.jpg|scan182.jpg|scan189.jpg|scan185.jpg|scan183.jpg
scan187.jpg,the brutalist ticket,,ephemera,ticket,2025-01-24,"Nashville, TN",Regal Green Hills,regal|nashville|film|architecture|ticket|a24,,scan190.jpg|scan193.jpg|scan195.jpg|scan183.jpg|scan185.jpg
scan188.jpg,anora 35mm ticket,,ephemera,ticket,2024-11-10,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket,,scan179.jpg|scan180.jpg|scan192.jpg|scan194.jpg|scan171.jpg
scan189.jpg,sonic 3 ticket,movie ticket stub for sonic the hedgehog 3,ephemera,ticket,2025-01-28,"Nashville, TN",Regal Opry Mills,regal|nashville|film|ticket|video game|family film,one of the worst movies i have ever seen,scan182.jpg|scan184.jpg|scan186.jpg|scan193.jpg|scan183.jpg
scan190.jpg,i'm still here ticket,,ephemera,ticket,2025-02-27,"Nashville, TN",Regal Green Hills,regal|nashville|film|ticket|foreign film|drama,,scan187.jpg|scan193.jpg|scan195.jpg|scan183.jpg|scan189.jpg
scan191.jpg,the substance ticket,screening ticket for the substance,ephemera,ticket,2024-10-05,"Nashville, TN",Belcourt,belcourt|nashville|film|ticket|horror|body horror,someone threw up in the theater when i saw this,scan176.jpg|scan178.jpg|scan172.jpg|scan181.jpg|scan179.jpg
scan192.jpg,twin peaks fire walk with me ticket,midnight showing at the belcourt,ephemera,ticket,2024-08-30,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|lynch|twin peaks,,scan172.jpg|scan179.jpg|scan180.jpg|scan196.jpg|scan188.jpg
scan193.jpg,turnstile never enough ticket,for the turnstile concert movie,ephemera,ticket,2025-06-16,"Nashville, TN",Regal Green Hills,regal|nashville|film|music|ticket|independent film,#turnstilesummer,scan187.jpg|scan190.jpg|scan195.jpg|scan183.jpg|scan189.jpg
scan194.jpg,pulp fiction 35mm ticket,,ephemera,ticket,2024-12-04,"Nashville, TN",Belcourt Theatre,belcourt|nashville|film|ticket|tarantino,,scan172.jpg|scan179.jpg|scan180.jpg|scan188.jpg|scan192.jpg
scan195.jpg,rocky horror 50th anniversary ticket,,ephemera,ticket,2025-10-17,"Nashville, TN",Regal Green Hills,regal|nashville|film|ticket|cult film|musical,,scan187.jpg|scan190.jpg|scan193.jpg|scan183.jpg|scan185.jpg
scan196.jpg,weapons ticket,,ephemera,ticket,2025-03-08,"Antioch, TN",AMC Antioch,belcourt|nashville|film|ticket|amc|lynch,,scan197.jpg|scan172.jpg|scan192.jpg|scan171.jpg|scan173.jpg
scan197.jpg,weapons ticket,amc theatres ticket for weapons,ephemera,ticket,2025-08-16,"Antioch, TN",amc theatres,nashville|film|ticket|amc|horror,,scan196.jpg|scan185.jpg|scan186.jpg|scan193.jpg|scan191.jpg
scan198.jpg,canadian skull envelope,hand addressed envelope from canada featuring a crowned skull drawing,mail,package,2020-08-05,,"Etsy, Cakolyre",correspondence|feelings|handmade|mail|canada|skull,one of my favorite linocut artists,scan199.jpg|scan210.jpg|scan76.jpg|scan19.webp|scan64.jpg
scan199.jpg,russian package envelope,international postage for a ring,mail,correspondence,,,Etsy,correspondence|mail|russia|stamps|international,,scan210.jpg|scan198.jpg|scan124.jpg|scan76.jpg|scan130.jpg
scan200.jpg,bauhaus alphabet specimen,reproduction of herbert bayer bauhaus universal type alphabet study,print,design reference,,"Berlin, DE",Das Bauhaus-Archiv,bauhaus|berlin|typography|architecture|handmade|design reference,,scan202.jpg|scan203.jpg|scan115.jpg|scan31.jpg|scan114.jpg
scan201.jpg,vintage tour de france photograph,archival cycling photograph,photograph,archival photo,,,,photography|archival photo|photograph|cycling|sport|history,,scan89.jpg|scan87.jpg|scan88.jpg|scan209.jpg|scan54.jpg
scan202.jpg,bauhaus exhibition poster,reproduction of 1923 bauhaus exhibition poster in weimar,print,design reference,september 2024,"Berlin, DE",bauhaus,bauhaus|berlin|typography|architecture|handmade|design reference,,scan200.jpg|scan203.jpg|scan115.jpg|scan114.jpg|scan31.jpg
scan203.jpg,flying machine collage,surrealist illustration of swimmers riding a beam of light projected from a machine,print,art print,,"Berlin, DE",Das Bauhaus-Archiv,bauhaus|berlin|typography|collage|architecture|handmade,,scan200.jpg|scan202.jpg|scan54.jpg|scan51.jpg|scan168.webp
scan204.jpg,a house in snow,minimal landscape photo,print,art print,,,,illustration|handmade|art print|landscape|minimalism|winter,,scan109.jpg|scan50.jpg|scan203.jpg|scan100.jpg|scan103.jpg
scan205.webp,solar eclipse glasses,paper eclipse viewing glasses from the north american eclipse,ephemera,event souvenir,april 2024,"Carbondale, KY",solar eclipse,space|event souvenir|eclipse|astronomy|science|event,saw totality!,scan209.jpg|scan217.jpg|scan26.jpg|scan51.jpg|scan113.jpg
scan206.jpg,madison cunningham setlist,mc setlist from the grey eagle in asheville,ephemera,setlist,october 2021,"Asheville, NC",The Grey Eagle,asheville|music|setlist|concert|mountain goats|live show,met her after this,scan207.jpg|scan208.jpg|scan121.jpg|scan70.jpg|scan104.jpg
scan207.jpg,black pumas setlist,handwritten concert setlist,ephemera,setlist,october 2021,"Harrisburg, PA",XL Live,music|setlist|concert|tour|performance,,scan208.jpg|scan206.jpg|scan104.jpg|scan121.jpg|scan70.jpg
scan208.jpg,madison cunningham setlist,annotated setlist with performance notes and song changes,ephemera,setlist,september 2021,"Washington, D.C.",Miracle Theatre,music|washington dc|setlist|concert|annotation|tour,,scan207.jpg|scan206.jpg|scan2.jpg|scan121.jpg|scan70.jpg
scan209.jpg,choosing the hard road article,science magazine article about interdisciplinary research and career paths,print,article,2017,,Vance Nannini,handmade|article|science|career|research|interdisciplinary,"my high school physics teacher printed this out and gave it to me after a group of guys in my class told me getting a psychology degree was ""stupid""",scan205.webp|scan200.jpg|scan26.jpg|scan201.jpg|scan58.jpg
scan210.jpg,religious outreach letter,an interesting thing to receive in the mail,mail,correspondence,april 2021,"Nashville, TN",Ivy McGee,nashville|correspondence|mail|handwriting|religion,how did she find me?,scan199.jpg|scan124.jpg|scan130.jpg|scan76.jpg|scan98.jpg
scan211.jpg,protection from bicycle mishap,humorous warning card depicting Death in a wheelchair being pushed after a bicycle accident,ephemera,victorian novelty card,,,,postcard|feelings|humor|victorian novelty card|bicycle|death,,scan42.jpg|scan52.jpg|scan118.jpg|scan41.webp|scan123.jpg
scan212.webp,snooper sticker,small sticker featuring snooper mascot,sticker,character art,,,,sticker|creatures|humor|character art|green creature|mascot,,scan218.jpg|scan56.jpg|scan122.jpg|scan160.jpg|scan128.jpg
scan213.jpg,dearborn music zeppelin sticker,a sticker honoring two greats,sticker,local memorabilia,,"Dearborn, MI",Dearborn Music,detroit|music|sticker|local memorabilia|dearborn|zeppelin,where my love for records began,scan1.jpg|scan120.jpg|scan145.jpg|scan164.jpg|scan169.jpg
scan214.jpg,what's on a man's mind,cartoon illustration of a reclining nude woman occupying the thoughts of Sigmund Freud,print,humor,,,,cartoon|humor|handmade|freud|psychology|caricature,,scan47.jpg|scan64.jpg|scan119.jpg|scan56.jpg|scan198.jpg
scan215.jpg,fisher building postcard,postcard showing Detroit's Fisher Building,postcard,detroit architecture,,"Detroit, MI","City Bird, Cass Corridor",detroit|city bird|architecture|postcard|creatures|detroit architecture,,scan216.jpg|scan1.jpg|scan120.jpg|scan200.jpg|scan114.jpg
scan216.jpg,detroit greeting card,vintage detroit greeting card. love's the thing!,advertising,felt pennant,,"Detroit, MI","City Bird, Cass Corridor",detroit|city bird|travel|postcard|creatures|souvenir,,scan215.jpg|scan1.jpg|scan120.jpg|scan145.jpg|scan68.webp
scan217.jpg,greetings from earth's moon,novelty postcard imagining tourist attractions and landmarks on the moon,postcard,space age,,,,travel|postcard|humor|space|space age|moon,,scan205.webp|scan44.jpg|scan26.jpg|scan215.jpg|scan51.jpg
scan218.jpg,frog picnic,cute froggy picnic collage,artwork,collage,,,Etsy,collage|creatures|frog|wine|picnic|surreal,i love frogs,scan159.jpg|scan128.jpg|scan138.jpg|scan212.webp|scan56.jpg
